Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh,Jujhar Travels,,18:50,2h,20:50,4.4,₹300,0
Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh,Jujhar Travels,,07:25,1h 50m,09:15,4.3,₹300,0
Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh,Jujhar Travels,,15:25,2h,17:25,4.1,₹300,0
Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh,Jujhar Travels,,08:10,1h 45m,09:55,4.4,₹300,0
Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh,Jujhar Travels,,14:00,2h,16:00,4.9,₹300,0
Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh,Jujhar Travels,,17:40,2h 10m,19:50,4.4,₹300,0
Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh,Jujhar Travels,,10:10,1h 50m,12:00,4.4,₹300,0
Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh,Jujhar Travels,,09:50,1h 40m,11:30,4.7,₹300,0
Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh,Jujhar Travels,,13:10,2h 5m,15:15,4,₹300,0
Ludhiana to Chandigarh,https://www.redbus.in/bus-tickets/ludhiana-to-chandigarh,Jujhar Travels,,08:55,1h 45m,10:40,4.8,₹300,0
Chandigarh to Yamuna Nagar,https://www.redbus.in/bus-tickets/chandigarh-to-yamuna-nagar,Shree Mahaveer Travels Jaipur,,22:00,3h 5m,01:05,3.9,"₹1,099",0
Chandigarh to Yamuna Nagar,https://www.redbus.in/bus-tickets/chandigarh-to-yamuna-nagar,Zimindara Travels,,23:00,3h 15m,02:15,3.8,₹999,0
Chandigarh to Yamuna Nagar,https://www.redbus.in/bus-tickets/chandigarh-to-yamuna-nagar,City Land Travels,,04:15,2h 15m,06:30,3.7,₹901,0
Chandigarh to Yamuna Nagar,https://www.redbus.in/bus-tickets/chandigarh-to-yamuna-nagar,City Land Travels,,22:20,2h 10m,00:30,3.7,₹799,0
Chandigarh to Yamuna Nagar,https://www.redbus.in/bus-tickets/chandigarh-to-yamuna-nagar,SHIV BHOLE TOUR AND TRAVELS,,22:30,2h 32m,01:02,3.7,"₹4,286",0
Chandigarh to Yamuna Nagar,https://www.redbus.in/bus-tickets/chandigarh-to-yamuna-nagar,Mahalaxmi Travels,,23:45,2h,01:45,3.7,"₹1,599",0
Chandigarh to Yamuna Nagar,https://www.redbus.in/bus-tickets/chandigarh-to-yamuna-nagar,City Land Travels,,00:40,1h 20m,02:00,3.6,"₹1,281",0
Chandigarh to Yamuna Nagar,https://www.redbus.in/bus-tickets/chandigarh-to-yamuna-nagar,Vijay Tour and Travels,,21:30,2h 50m,00:20,3.6,"₹1,049",0
Chandigarh to Yamuna Nagar,https://www.redbus.in/bus-tickets/chandigarh-to-yamuna-nagar,Kohli Tour & Travellers,,02:10,1h 50m,04:00,3.6,₹700,0
Chandigarh to Yamuna Nagar,https://www.redbus.in/bus-tickets/chandigarh-to-yamuna-nagar,Vijay Tour and Travels,,23:40,2h 30m,02:10,0,"₹1,049",0
